#AB DOR from table 6 Mentuch et al 2008,,,,,,,,,,,,,,,
Object ID,Spectral Type,No. of Obs.,EW6708 mA,EW err,Teff (K),Teff_err,log g,log NLi,other name,B mag,V mag,Simbad Sp. Type,B-V,notes,bib(B ref;Vref)
AB Dor,K1,3,261,21,5210,34,4.63 & 0.06,3.50 & 0.04,HD 36705                 ,7.856,6.999,K0V            ,0.857,,2010MNRAS.403.1949K
GSC 08894-00426,M2,3,37,22,3343,11,4.83 & 0.05,0.25 & 0.02,GSC 08894-00426          ,13.87,12.319,M5Ve           ,1.551,,2012yCat.1322....0Z;2012AcA....62...67K
HD 13482A,K1,2,124,20,5725,105,4.47 & 0.18,3.17 & 0.03,HD 13482A                ,8.87,8.02,~              ,0.85,binary,
HD 13482B,,1,76,20,5090,10,4.95 & 0.05,1.75 & 0.02,HD 13482B                ,10.63,9.52,~              ,1.11,binary,
HD 17332B,,1,168,20,5780,10,4.35 & 0.05,3.55 & 0.02,HD 17332B                ,     ~,     ~,G5V            ,,binary,
HD 217343,G3 V,3,172,20,5957,28,4.25 & 0.05,3.68 & 0.04,HD 217343                ,8.12,7.48,G5V            ,0.64,,2000A&A...355L..27H
HD 217379N,,2,20,20,4050,14,5.07 & 0.06,0.30 & 0.05,,,,,,binary,
HD 217379S,,2,30,21,4165,11,5.05 & 0.07,0.35 & 0.05,,,,,,binary,
HD 218860,G5,2,222,20,5670,10,4.32 & 0.06,3.55 & 0.02,HD 218860                ,9.52,8.782,G8V            ,0.738,,2000A&A...355L..27H;2012AcA....62...67K
HD 224228,K3 V,2,76,20,4905,11,4.82 & 0.06,1.35 & 0.02,HD 224228                ,9.21,8.225,K2V            ,0.985,,2010MNRAS.403.1949K
HD 35650,K7,4,20,20,4252,10,5.06 & 0.05,0.25 & 0.02,HD 35650                 ,10.365,9.054,K6V            ,1.311,,2010MNRAS.403.1949K;2012AcA....62...67K
HD 45270,G1 V,3,142,20,6187,24,4.50 & 0.10,3.90 & 0.04,HD 45270                 ,7.11,6.508,G1V            ,0.602,,2010MNRAS.403.1949K
HD 65569,K1 V,3,155,20,5223,31,4.87 & 0.05,2.77 & 0.03,HD 65569                 ,9.51,9.09,F5III          ,0.42,,2000A&A...355L..27H
HIP 14807,K6,1,34,20,4500,10,4.60 & 0.05,0.55 & 0.02,BD+21 418B               ,11.6,10.6,~              ,1,bad?,
HIP 14809,G5,1,150,20,6050,10,4.25 & 0.05,3.60 & 0.02,BD+21 418                ,9.14,8.51,G5             ,0.63,,2000A&A...355L..27H
HIP 17695,M3,2,74,29,3545,18,4.72 & 0.06,0.25 & 0.02,G 80-21                  ,13.048,11.537,M3.0V          ,1.511,,2010MNRAS.403.1949K;2012AcA....62...67K
HIP 26369,K7,3,44,20,4010,15,4.55 & 0.06,0.25 & 0.02,CD-48 1893               ,11.07,9.865,K6Ve           ,1.205,,2010MNRAS.403.1949K
HIP 31878,K7,3,42,24,4240,14,5.12 & 0.05,0.53 & 0.03,CD-61 1439               ,11.043,9.746,K7V(e)         ,1.297,,2010MNRAS.403.1949K;2012AcA....62...67K
HIP 6276,G8,3,153,20,5643,13,4.43 & 0.05,3.22 & 0.04,BD-12 243                ,9.19,8.39,G9V            ,0.8,,2000A&A...355L..27H
HR 2468,G1.5,2,138,20,6060,14,4.60 & 0.11,3.58 & 0.03,HD 48189                 ,6.77,6.15,G1/2V          ,0.62,,2010A&A...520A..15M
UY Pic ,K0 V,3,267,20,5600,15,5.05 & 0.06,3.60 & 0.02,V* UY Pic                ,8.77,7.676,K0V            ,1.094,,2000A&A...355L..27H;2012AcA....62...67K
V372 Pup ,M3,5,20,21,3688,19,4.88 & 0.05,0.25 & 0.02,,11.376,9.974,M1Ve ,1.402,,2010MNRAS.403.1949K;2012AcA....62...67K